section,key,content_en,content_ml
hero,title,"Lease a scooter. Zero up-front.","ഒരു സ്കൂട്ടർ വാടകയ്ക്ക് എടുക്കുക"
hero,subtitle,"Flexible terms, maintenance & insurance included.",""
hero,cta_primary,"Calculate Your Lease","കണക്കുകൂട്ടൽ"
hero,cta_secondary,"Book a Demo / Call","ബുക്ക് ചെയ്യുക"
pricing,title,"Choose Your Plan","പ്ലാൻ തിരഞ്ഞെടുക്കുക"
pricing,hourly_name,"Hourly","മണിക്കൂറിൽ"
pricing,daily_name,"Daily","ദിവസം"
pricing,monthly_name,"Monthly","മാസം"
pricing,feature_1,"Perfect for short trips",""
pricing,feature_2,"Pay only for usage",""
pricing,feature_3,"24-hour access",""
pricing,feature_4,"Unlimited kilometers",""
pricing,feature_5,"Best value for money",""
pricing,feature_6,"All maintenance included",""
pricing,disclaimer,"T&Cs apply • Prices subject to change",""
included,title,"What's Included","ഉൾപ്പെട്ടിരിക്കുന്നത്"
included,maintenance,"Maintenance & Insurance","അറ്റകുറ്റപ്പണികൾ"
included,maintenance_desc,"All maintenance and insurance costs handled. No surprises.",""
included,assistance,"24/7 Roadside Assistance",""
included,assistance_desc,"Help is always available when you need it, anywhere you are.",""
included,warranty,"Battery Warranty",""
included,warranty_desc,"Standard 3yrs / 50,000 km. Extend to 5yrs / 80,000 km.",""
included,tradein,"Trade-in Credit",""
included,tradein_desc,"Get instant credit for your old vehicle towards your lease.",""
included,fleet,"Fleet Dashboard",""
included,fleet_desc,"For businesses: Track your fleet usage, costs, and maintenance in real-time.",""
included,upgrade,"Flexible Upgrades",""
included,upgrade_desc,"Upgrade to a newer model anytime during your lease term.",""
how_it_works,title,"How It Works","എങ്ങനെ പ്രവർത്തിക്കുന്നു"
how_it_works,step_1,"Book Online",""
how_it_works,step_1_desc,"Choose your plan and book your scooter online or call us.",""
how_it_works,step_2,"Inspect Trade-in",""
how_it_works,step_2_desc,"Optional: Bring your old vehicle for instant trade-in credit.",""
how_it_works,step_3,"Sign & Ride",""
how_it_works,step_3_desc,"Paperwork handled — sign digitally and ride away the same day.",""
how_it_works,step_4,"Support & Upgrade",""
how_it_works,step_4_desc,"Enjoy 24/7 support. Return, upgrade, or buy anytime.",""
how_it_works,footnote,"Paperwork handled — upgrade in one visit",""
faq,title,"Frequently Asked Questions","പതിവായി ചോദിക്കുന്ന ചോദ്യങ്ങൾ"
faq,q1,"Can I buy the scooter after the lease ends?",""
faq,a1,"Yes! At the end of your lease, you have the option to purchase the scooter at a predetermined residual value, return it, or upgrade to a newer model.",""
faq,q2,"What happens if I exceed the kilometer limit?",""
faq,a2,"Our lease plans include generous kilometer allowances. If you exceed the limit, excess kilometers are charged at ₹2/km. You can also opt for unlimited kilometer packages.",""
faq,q3,"How does trade-in credit work?",""
faq,a3,"We accept your old scooter or bike as trade-in. Our team will inspect it and offer you a fair credit value that will be deducted from your total lease cost.",""
faq,q4,"Can I extend the battery warranty?",""
faq,a4,"Absolutely! The standard battery warranty is 3 years / 50,000 km. You can extend it to 5 years / 80,000 km for an additional ₹2,999.",""
faq,q5,"Is the security deposit refundable?",""
faq,a5,"Yes, your security deposit is fully refundable at the end of the lease term, provided the scooter is returned in good condition with no outstanding payments.",""
faq,q6,"How do promo codes work?",""
faq,a6,"Use promo codes like FIRST10 (10% off), ECO15 (15% off), or LULU5 (5% off) when booking. Apply them in the calculator to see your instant discount.",""
form,title,"Get Started Today","ഇന്ന് ആരംഭിക്കുക"
form,name_label,"Full Name",""
form,phone_label,"Phone Number",""
form,email_label,"Email Address",""
form,interest_label,"I'm interested in:",""
form,interest_retail,"Retail Purchase",""
form,interest_lease,"Lease/Subscription",""
form,interest_fleet,"Fleet/Business",""
form,interest_franchise,"Franchise Opportunity",""
form,met_at_event,"I met EcoScoot at Lulu Mall / Forum Mall / Expo",""
form,submit,"Submit Inquiry",""
calculator,title,"Lease Calculator","കണക്കുകൂട്ടൽ"
calculator,duration,"Lease Duration",""
calculator,monthly_price,"Monthly Base Price (₹)",""
calculator,promo_code,"Promo Code (Optional)",""
calculator,tradein,"Trade-in Credit (₹)",""
calculator,deposit,"Security Deposit (₹)",""
calculator,maintenance,"Add Extended Maintenance (₹499/month)",""
calculator,tax_rate,"Tax Rate (%)",""
calculator,quote_title,"Your Quote",""
calculator,base_total,"Base Total",""
calculator,promo_discount,"Promo Discount",""
calculator,total_tax,"Total Tax (GST)",""
calculator,net_total,"Net Total",""
calculator,upfront,"Upfront Due",""
calculator,monthly,"Monthly Payment",""
calculator,download,"Download Quote (PDF)",""
